,Endothelial cell,Smooth muscle cell
AC002076.10,0.0026624068157614484,0.0
AC002115.5,0.0,0.0
AC002115.9,0.0,0.0
AC002116.7,0.005324813631522897,0.03635041802980734
AC002117.1,0.19435569755058574,0.14540167211922936
AC002128.5,0.0,0.0
AC002306.1,0.013312034078807242,0.07270083605961468
AC002310.12,0.25559105431309903,0.4725554343874955
AC002310.13,0.0,0.0
AC002310.7,0.007987220447284345,0.0
AC002331.1,0.01863684771033014,0.10905125408942203
AC002383.2,0.0,0.0
AC002395.1,0.0,0.0
AC002398.11,0.013312034078807242,0.03635041802980734
AC002398.12,0.013312034078807242,0.10905125408942203
AC002398.13,0.0,0.0
AC002401.1,0.0,0.0
AC002429.5,0.005324813631522897,0.0
AC002451.3,0.11714589989350373,0.14540167211922936
AC002454.1,0.01863684771033014,0.07270083605961468
AC002456.2,0.04792332268370607,0.5452562704471101
AC002463.3,0.0,0.0
AC002467.7,0.2689030883919063,0.3271537622682661
AC002472.1,0.0,0.0
AC002480.2,0.0,0.0
AC002480.3,0.061235356762513314,0.07270083605961468
AC002480.4,0.03194888178913738,0.0
AC002511.2,0.0,0.0
AC002511.3,0.0,0.0
AC002539.1,0.0,0.0
AC002550.5,0.007987220447284345,0.0
AC002550.6,0.007987220447284345,0.03635041802980734
AC002551.1,0.0,0.0
AC002979.1,0.0,0.0
AC003002.6,0.0,0.0
AC003003.5,0.0,0.0
AC003005.2,0.0,0.0
AC003075.4,0.3407880724174654,0.7633587786259542
AC003084.2,0.0,0.0
AC003088.1,0.0,0.0
AC003090.1,0.013312034078807242,0.4725554343874955
AC003092.1,0.0,0.0
AC003092.2,0.0,0.0
AC003101.1,0.0,0.0
AC003682.16,0.0,0.0
AC003956.1,0.005324813631522897,0.03635041802980734
AC003958.2,0.0,0.0
AC003984.1,0.0026624068157614484,0.0
AC003986.5,0.0,0.0
AC003986.6,0.0,0.0
AC003986.7,0.0,0.0
AC003991.3,0.013312034078807242,0.03635041802980734
AC004000.1,0.0,0.0
AC004012.1,0.0,0.0
AC004019.13,0.0,0.0
AC004053.1,0.0,0.0
AC004057.1,0.03194888178913738,0.3998545983278808
AC004066.3,0.0,0.0
AC004067.5,0.005324813631522897,0.0
AC004069.2,0.05058572949946752,0.3635041802980734
AC004076.5,0.05591054313099041,0.10905125408942203
AC004076.7,0.0,0.0
AC004076.9,0.0,0.0
AC004112.4,0.0,0.0
AC004156.3,0.010649627263045794,0.10905125408942203
AC004158.1,0.0,0.0
AC004158.3,0.0026624068157614484,0.0
