,surfaceome_genes
3256,TIMD4
3257,VSIG2
3258,ABCC12
3259,ABCC11
3260,LRIG1
3261,CDHR1
3262,SLC41A2
3263,GPR128
3264,MEGF10
3265,MSLNL
3266,OR10C1
3267,BTN2A3P
3268,SUSD3
3269,MRGPRX4
3270,MRGPRX3
3271,MRGPRX2
3272,MRGPRX1
3273,HIAT1
3274,GPR137
3275,SLC6A18
3276,PTCHD1
3277,CNTNAP3B
3278,PVRL4
3279,GPR101
3280,GPR82
3281,OXGR1
3282,GPR78
3283,LRRC3B
3284,OPALIN
3285,FCRL4
3286,TECTB
3287,ERMAP
3288,AQP10
3289,CSMD1
3290,SLC38A2
3291,SLC2A13
3292,LRRC37B
3293,OR5B12
3294,OR5B2
3295,OR2M4
3296,OR2M2
3297,OR2V2
3298,OR2A7
3299,OR2A14
3300,OR2A5
3301,OR14A2
3302,OR4C12
3303,OR4F4
3304,OR4K3
3305,OR1F2P
3306,OR7D2
3307,OR5M11
3308,OR8B4
3309,OR8B2
3310,OR6C1
3311,OR52B2
3312,OR52E6
3313,PANX2
3314,TAAR6
3315,TAAR9
3316,SIGLEC11
3317,SLC26A8
3318,PCNX
3319,SLC22A12
3320,MYADM
3321,SERINC2
3322,TSPAN18
3323,DIRC2
3324,SLC9A7
3325,SCN2A
3326,GML
3327,NPY6R
3328,P2RX4
3329,LPAR4
3330,GPR20
3331,GPR21
3332,GPR22
3333,KIR2DL4
3334,ABCA3
3335,GPA33
3336,TM9SF2
3337,SLC6A7
3338,GABRG3
3339,ADAM2
3340,P2RY13
3341,HEPH
3342,SLC35A5
3343,TMEM204
3344,CRB3
3345,FAIM2
3346,HCAR1
3347,VN1R3
3348,CLEC7A
3349,TLR10
3350,SLC26A6
3351,CACNG6
3352,SLC4A5
3353,SLC46A2
3354,TEX101
3355,GPR87
3356,MFRP
3357,TMPRSS13
3358,CDHR2
3359,ACE2
3360,SLC17A9
3361,ANO3
3362,SLC2A11
3363,ADAM33
3364,CNTNAP3
3365,PCDH11X
3366,PCDH11Y
3367,ABCA2
3368,ACPT
3369,LYNX1
3370,GPR63
3371,GPR62
3372,GPR61
3373,SLC19A3
3374,IMPG2
3375,SLC13A1
3376,CNTNAP4
3377,THSD7B
3378,SLC39A8
3379,OR2B2
3380,OR2H1
3381,OR2J1
3382,OR11A1
3383,OR8D2
3384,GPR88
3385,SLC6A16
3386,VN1R1
3387,CHRNA10
3388,SLC22A4
3389,PCDHAC1
3390,ABCG4
3391,MUC3B
3392,UNC93B1
3393,TRPV6
3394,MEGF9
3395,SLC6A17
3396,OPN3
3397,OR2AG1
3398,OR10A5
3399,OR10A2
3400,OR10A4
3401,OR2D2
3402,P2RY12
3403,CDH23
3404,OR51E2
3405,DCSTAMP
3406,SLC26A1
3407,OR52A5
3408,OR51V1
3409,SLC6A15
3410,ADAM7
3411,MS4A6A
3412,SLC12A5
3413,SLCO5A1
3414,TTYH1
3415,TMEM245
3416,OR51B5
3417,OR51B6
3418,OR51M1
3419,OR51J1
3420,OR51I1
3421,OR51I2
3422,OR52D1
3423,MUC13
3424,SEMA6C
3425,LRRN3
3426,PIEZO2
3427,CLMP
3428,FNDC4
3429,TMEM231
3430,RNF167
3431,LRRC19
3432,ATP13A3
3433,NIPAL2
3434,MANSC1
3435,ZDHHC11
3436,ERVMER34-1
3437,CHODL
3438,CALHM2
3439,SLC52A2
3440,LPHN3
3441,SLC28A3
3442,EDA2R
3443,TRPV4
3444,CDHR5
3445,TMEM27
3446,LRTM1
3447,CDH20
3448,SPACA1
3449,LRRC4
3450,SLC24A3
3451,GPR35
3452,GDPD2
3453,ANKH
3454,ATP13A1
3455,PTPRH
3456,SLC40A1
3457,IL1RAPL2
3458,ABCB9
3459,SLC6A20
3460,SLC39A2
3461,KCNMB3
3462,MMP25
3463,SLCO1B3
3464,NRN1
3465,PCDH12
3466,NOX4
3467,GPR108
3468,C14orf132
3469,ATP13A2
3470,TMEM9B
3471,SLC52A3
3472,EQTN
3473,GPRC5C
3474,ANO2
3475,TRPV5
3476,OR2S2
3477,GPR84
3478,ITM2C
3479,CD163L1
3480,SLC17A5
3481,DUOX2
3482,PCDHB16
3483,SLC2A9
3484,TPSG1
3485,SERINC1
3486,RPRM
3487,GPR173
3488,GPR27
3489,TNFRSF19
3490,SLC7A10
3491,TM7SF3
3492,SLC22A11
3493,IGSF5
3494,PKDREJ
3495,GJB4
3496,GINM1
3497,SLC39A9
3498,TMEM106B
3499,LMBRD1
3500,TMEM140
3501,SLC52A1
3502,RHBDL2
3503,TMEM161A
3504,ERVK13-1
3505,SIDT1
3506,CLDND1
3507,ASIC5
3508,SCN3A
3509,SLC2A8
3510,SCN3B
3511,VNN3
3512,SLC5A4
3513,SLCO1C1
3514,GPR83
3515,FAT2
3516,TAS2R16
3517,TAS2R14
3518,TAS2R10
3519,TAS2R9
3520,TAS2R8
3521,TAS2R7
3522,TAS2R4
3523,TAS2R3
3524,TAS2R1
3525,CALY
3526,SIGLEC8
3527,GPRC5D
3528,GPRC5B
3529,OR6C3
3530,OR6C2
3531,OR5AC2
3532,SLAMF8
3533,CACNA1I
3534,CLEC1B
3535,TAAR2
3536,OR1A1
3537,TMEM63C
3538,SEMA5B
3539,PCDH10
3540,IGSF9
3541,PTCHD2
3542,LRIT1
3543,RHCG
3544,P2RX2
3545,CACNG4
3546,SUCO
3547,SLC9A2
3548,CACNG5
3549,EPHA6
3550,OR14J1
3551,OR5V1
3552,OR12D3
3553,CHRNA9
3554,CD300A
3555,SLC2A6
3556,NPC1L1
3557,SLC23A1
3558,OPN4
3559,SCN11A
3560,SLC24A2
3561,TMEFF2
3562,GGT7
3563,GPR160
3564,CDH22
3565,ENPP5
3566,LAMP5
3567,AJAP1
3568,ADAM30
3569,ADAM29
3570,SLC13A4
3571,ERVK-9
3572,PILRB
3573,ADAM21
3574,OR52A1
3575,GJD2
3576,MUC12
3577,ADAM28
3578,TRHDE
3579,PRND
3580,TMPRSS11E
3581,EMCN
3582,RNF150
3583,TPCN1
3584,CA14
3585,MMP17
3586,SLC45A2
3587,ATP1B4
3588,PCDHB8
3589,PCDHB10
3590,PCDHA7
3591,PCDHA4
3592,PCDHA12
3593,SLC6A14
3594,EDAR
3595,ABCG2
3596,SLC12A4
3597,GPR34
3598,FLVCR2
3599,SLC8A2
3600,SORCS3
3601,IGSF9B
3602,SCN8A
3603,ERVW-1
3604,NAALADL1
3605,SLC22A13
3606,SLC22A14
3607,SLC5A6
3608,TLR6
3609,GPR52
3610,OR2W1
3611,SIT1
3612,ADAM18
3613,ZAN
3614,OR10H1
3615,OR1A2
3616,PCDHB9
3617,PCDHB7
3618,PCDHB6
3619,PCDHB5
3620,PCDHB4
3621,PCDHB3
3622,PCDHB2
3623,PCDHB15
3624,PCDHB14
3625,PCDHB13
3626,PCDHB12
3627,PCDHB11
3628,PCDHB1
3629,PCDHGC4
3630,PCDHGB6
3631,PCDHGB3
3632,PCDHGB2
3633,PCDHGA7
3634,PCDHGA6
3635,PCDHGA5
3636,PCDHGA4
3637,PCDHGA3
3638,PCDHGA2
3639,PCDHGA11
3640,PCDHGA10
3641,PCDHGA1
3642,PCDHA9
3643,PCDHA8
3644,PCDHA5
3645,PCDHA3
3646,PCDHA2
3647,PCDHA13
3648,PCDHA1
3649,PCDHAC2
3650,CLDN16
3651,OR51B4
3652,OR51B2
3653,CORIN
3654,FLVCR1
3655,GPR45
3656,BACE2
3657,GPC6
3658,KCNMB2
3659,SLC22A7
3660,CACNG2
3661,MRVI1
3662,SLCO1B1
3663,PRSS21
3664,SLC30A1
3665,SLC4A4
3666,ATP2B1
3667,DLG1
3668,ANK3
3669,KCNQ1
3670,VAMP8
3671,CHMP4A
3672,CAV1
3673,VAMP3
3674,RAB10
3675,CAV3
3676,CHMP4B
3677,CLCN3
3678,SLC9A4
3679,VAMP2
3680,RAB3A
3681,FLOT1
3682,ESYT2
3683,EHD3
3684,ATP2C2
3685,SNAP25
3686,SNAP29
3687,TRARG1
3688,CHMP4C
3689,KCNH2
3690,SPPL3
3691,ATP7A
3692,CHMP2A
3693,ZDHHC2
3694,PALM
3695,CHMP1B
3696,CHMP6
3697,RAB7A
3698,SPTBN1
3699,VAMP7
3700,VPS4A
3701,ABCB6
3702,ANXA13
3703,ANK2
3704,ANXA2
3705,RAB8A
3706,SLC27A1
3707,B4GALT1
3708,CHMP3
3709,CHMP5
3710,FLOT2
3711,MYO1C
3712,NSG1
3713,OTOF
3714,PICALM
3715,SCAMP1
3716,SCAMP5
3717,STEAP2
3718,VMP1
3719,AP2M1
3720,EHD1
3721,TSPO2
3722,IQGAP1
3723,ADCY8
3724,CHMP2B
3725,KCNC2
3726,KCNE5
3727,PGRMC1
3728,SLC30A5
3729,SLC38A3
3730,STX3
3731,GRAMD1A
3732,CFTR
3733,CTNNB1
3734,PDZK1
3735,BCL2L1
3736,CHMP1A
3737,DMD
3738,KCNE1
3739,LIN7B
3740,MYMX
3741,VTI1B
3742,SNAP23
3743,DYSF
3744,PDPN
3745,FER1L5
3746,GRAMD2A
3747,KCNA5
3748,LITAF
3749,STX4
3750,VAMP1
3751,VAMP4
3752,AKAP5
3753,LRRK2
3754,KCNJ2
3755,CHMP7
3756,DNM2
3757,KCNE2
3758,MAL
3759,MARCHF1
3760,RAB6A
3761,SYT1
3762,TMED10
3763,VAPA
3764,VAPB
3765,KCNC1
3766,STOM
3767,MSN
3768,STX1A
3769,SYNE2
3770,ATP2A2
3771,PLD1
3772,ABHD17A
3773,AP2A2
3774,AP2B1
3775,CASK
3776,GOLGA7
3777,LAPTM4B
3778,LIN7C
3779,NKD2
3780,PPP3CA
3781,RAB14
3782,RAP2A
3783,STX17
3784,TRPM4
3785,USP6NL
3786,ZDHHC22
3787,PRKCZ
3788,ARF6
3789,MYO1A
3790,RAB13
3791,AP2S1
3792,ARL6IP5
3793,ATP2C1
3794,ATP6V0A4
3795,ATP6V0C
3796,EFCAB7
3797,HCN1
3798,HIP1R
3799,HSP90AA1
3800,KCNA1
3801,MREG
3802,PACSIN1
3803,PRTN3
3804,RAB21
3805,RAB35
3806,SLC9B2
3807,SYT7
3808,TRPV1
3809,JUP
3810,PLPP3
3811,SCAMP4
3812,AKT1
3813,ATP4A
3814,COPB1
3815,FXYD1
3816,HAS2
3817,IGSF21
3818,JPH1
3819,JPH2
3820,KCNH1
3821,KCNJ8
3822,LIN7A
3823,PICK1
3824,RAB11A
3825,RAB5A
3826,RAB8B
3827,TLCD1
3828,TLCD2
3829,TMBIM1
3830,PACSIN2
3831,FYN
3832,RAB27B
3833,RDX
3834,PALS1
3835,ATP6V1B1
3836,EHD2
3837,OSCP1
3838,GRAMD1C
3839,ANK1
3840,BCAP31
3841,C2CD2L
3842,CAV2
3843,CLDN5
3844,CLIP3
3845,ENSG00000254692
3846,GUCY2D
3847,HCN4
3848,PRKCI
3849,RAC1
3850,SCRIB
3851,SLC16A10
3852,SLC17A3
3853,STAC
3854,SYT11
3855,SYTL4
3856,TMC6
3857,TRPM2
3858,VPS4B
3859,ERBIN
3860,MYH9
3861,LRRC8C
3862,SLC9A5
3863,OCLN
3864,LAMTOR1
3865,TRDN
3866,ZDHHC20
3867,AKT2
3868,AP1M1
3869,AQP7
3870,ATP6V0A1
3871,ATP6V1B2
3872,ATP7B
3873,BAIAP2L2
3874,CTSL
3875,DNAJC5
3876,ITPR1
3877,JPH3
3878,KCNC3
3879,MARCHF2
3880,MGST1
3881,MTCL1
3882,NEU3
3883,RAB5B
3884,RAPGEF3
3885,RAPGEF6
3886,RER1
3887,RFTN1
3888,SLC16A2
3889,SPTA1
3890,VPS37B
3891,MICALL1
3892,STX1B
3893,MUC20
3894,SURF4
3895,AHNAK
3896,EFR3A
3897,FLNA
3898,CYBRD1
3899,DTNBP1
3900,EXOC1
3901,ASPSCR1
3902,LYN
3903,ABCC6
3904,ATP6V0D1
3905,C16orf92
3906,CNIH2
3907,DMPK
3908,FERMT2
3909,HCN2
3910,HVCN1
3911,JPH4
3912,KCNJ10
3913,KCNJ11
3914,KCNJ5
3915,MPP2
3916,MS4A4A
3917,RAB31
3918,SLC4A11
3919,SLC9C2
3920,SNTA1
3921,SNX18
3922,STING1
3923,STXBP3
3924,SYT9
3925,ZNRF2
3926,BORCS5
3927,BIN2
3928,PLSCR1
3929,TJP1
3930,EHD4
3931,OCRL
3932,CLTRN
3933,RAB26
3934,RHOA
3935,RILPL1
3936,RIMS2
3937,ROM1
3938,SRC
3939,FGR
3940,SLC4A2
3941,SLC9A3R2
3942,ABHD17C
3943,ABHD6
3944,AP1G1
3945,ATP10B
3946,ATP13A4
3947,ATP6V0D2
3948,ATP6V1A
3949,C2CD5
3950,CIB1
3951,CPLX3
3952,DEGS1
3953,ESYT1
3954,PDE2A
3955,PRRT2
3956,SEC16A
3957,SLC27A5
3958,SLC30A2
3959,SLC7A11
3960,TRPM8
3961,VPS13A
3962,WLS
3963,ZDHHC17
3964,RGS7BP
3965,EPB41L3
3966,NUMB
3967,NRAS
3968,AJM1
3969,EPB41
3970,MARCKS
3971,APPL1
3972,STOML2
3973,AP2A1
3974,ATAD1
3975,CALM3
3976,CHP1
3977,CLCN4
3978,CLTC
3979,CORO1C
3980,EXOC2
3981,EXOC8
3982,GBA2
3983,GBP1
3984,HRAS
3985,HSPA8
3986,ITPR2
3987,KCNE4
3988,KCNJ16
3989,KCNJ9
3990,LAPTM5
3991,LDLRAP1
3992,MLC1
3993,ORAI1
3994,PAQR6
3995,PARD6G
3996,PDZD11
3997,PPP1R9B
3998,RAB17
3999,RAB40C
4000,RAP2B
4001,RHBG
4002,RHOG
4003,RIMS1
4004,RNF103-CHMP3
4005,ROCK1
4006,SCIMP
4007,SLC9A9
4008,SPEF1
4009,ST14
4010,TMC8
4011,TOM1
4012,UBB
4013,DAB2
4014,UTRN
4015,RAPSN
4016,STX2
4017,TMEM266
4018,EFR3B
4019,ABCG1
4020,ACSL1
4021,ACSL3
4022,AGTRAP
4023,AHCYL1
4024,APPL2
4025,ARC
4026,ATP10D
4027,ATP11B
4028,ATP6V0E2
4029,ATP9A
4030,C1QTNF5
4031,CNST
4032,DENND4C
4033,DNAJC13
4034,EPM2A
4035,EXOC4
4036,GGA1
4037,GOLPH3
4038,ITPR3
4039,KCNN2
4040,MCEMP1
4041,MRAP
4042,MTSS2
4043,MYMK
4044,NALF1
4045,NEU4
4046,NSF
4047,PI4K2A
4048,PLSCR2
4049,PLSCR3
4050,PLSCR4
4051,PRKG2
4052,PRRT1
4053,RAB44
4054,RAB4A
4055,SHANK2
4056,SLC48A1
4057,SNX5
4058,STBD1
4059,STX19
4060,SYAP1
4061,SYNDIG1
4062,TMEM88
4063,TRIM72
4064,TSG101
4065,TVP23A
4066,WHAMM
4067,YKT6
4068,TTC7B
4069,EXOC7
4070,EPB41L5
4071,EPB41L2
4072,RAB11FIP5
4073,CACNA1D
4074,CLTB
4075,GOPC
4076,MAGI1
4077,MS4A12
4078,SMIM9
4079,SPTBN2
4080,SYT4
4081,AAK1
4082,AQP11
4083,BAIAP2
4084,CLIC1
4085,EVA1A
4086,MGAM
4087,AKAP7
4088,AMER2
4089,AMER3
4090,ARL8A
4091,ATP6V1E1
4092,BTNL8
4093,CALHM3
4094,CALM1
4095,CLEC4C
4096,CLEC4D
4097,CLTA
4098,CNP
4099,DOK3
4100,FCN1
4101,FMR1
4102,GGA3
4103,HPN
4104,HYCC2
4105,IDE
4106,INPP5D
4107,KCNAB2
4108,KCNT2
4109,KIF13A
4110,KRAS
4111,LAMTOR2
4112,LAMTOR3
4113,LLGL1
4114,MAL2
4115,MARVELD2
4116,MRAP2
4117,MS4A3
4118,MS4A7
4119,MVB12B
4120,NKG7
4121,NUMA1
4122,OSBPL6
4123,PIK3R1
4124,PLAAT3
4125,PLPP6
4126,PTPN3
4127,RAB18
4128,RAB38
4129,RAB9A
4130,RAC2
4131,RANGRF
4132,RAP1A
4133,RHOQ
4134,RYR1
4135,SIGMAR1
4136,SLC4A3
4137,SLMAP
4138,SMIM23
4139,SNCA
4140,SNX33
4141,SPTBN4
4142,STX7
4143,STXBP1
4144,SVIP
4145,TAPBP
4146,THEM4
4147,TMC1
4148,TMEM59
4149,UBC
4150,USP8
4151,VPS35L
4152,ZDHHC23
4153,BAIAP2L1
4154,CAVIN2
4155,SNX9
4156,RAB43
4157,SPHK1
4158,ATP6V1D
4159,CFAP126
4160,APMAP
4161,PPP3R1
4162,PTK2B
4163,SDCBP
4164,CPNE1
4165,CDK5
4166,CNKSR2
4167,SERPINA5
4168,SLC4A9
4169,SNAP91
4170,STX18
4171,CAVIN1
4172,ENOX1
4173,KCNJ15
4174,RYR2
4175,SKAP1
4176,UBA52
4177,ABCC8
4178,ABHD17B
4179,ACP3
4180,ACSL4
4181,ARFRP1
4182,ARL6IP1
4183,ARL8B
4184,ATP5F1A
4185,ATP5F1B
4186,BRI3
4187,C9
4188,CD207
4189,CLASP2
4190,CLPTM1
4191,CNIH3
4192,CTSK
4193,CYTH3
4194,ENTREP1
4195,EXOC1L
4196,GAA
4197,GOLGA4
4198,KCNC4
4199,KCNK9
4200,MAGI2
4201,MGST2
4202,MOSPD3
4203,MS4A14
4204,NID1
4205,OCA2
4206,OSBPL2
4207,PATJ
4208,PLEKHA1
4209,PLPP1
4210,PLPPR4
4211,PLSCR5
4212,PTEN
4213,RAB15
4214,RFFL
4215,RIC8A
4216,SLC22A18
4217,SLC25A14
4218,SLC25A4
4219,SLC27A2
4220,SLC27A4
4221,STOML3
4222,SYT10
4223,SYTL1
4224,TMBIM6
4225,TMC3
4226,VPS28
4227,CLDN23
4228,RAPGEF2
4229,IQCE
4230,NDC1
4231,TRPM1
4232,BEST1
4233,ECRG4
4234,KIF5B
4235,SMPD4
4236,GGA2
4237,PGRMC2
4238,TTC17
4239,AQP3
4240,CLCN5
4241,DBNL
4242,MFSD4B
4243,MIEN1
4244,PDZD3
4245,PIP5K1A
4246,SNX15
4247,TMEM65
4248,TRPC7
4249,FER1L6
4250,ACSL5
4251,ADGRA3
4252,ADGRE1
4253,ADGRL4
4254,AP1G2
4255,AQP6
4256,ARFIP2
4257,ATAD3B
4258,ATG9B
4259,ATP6V1C1
4260,BAIAP3
4261,C2CD6
4262,C8A
4263,CACNB2
4264,CACNB4
4265,CHRFAM7A
4266,CLDN14
4267,CLDN17
4268,CMTM6
4269,CNKSR3
4270,CPE
4271,CRISP1
4272,CTSB
4273,DCST1
4274,DLG2
4275,DMTN
4276,DST
4277,DSTYK
4278,EPPK1
4279,F11
4280,FCHO2
4281,FGF13
4282,FNBP1L
4283,FRMPD2
4284,FXYD2
4285,FYB2
4286,GEM
4287,GNAI3
4288,GNAT1
4289,GRIP1
4290,HAX1
4291,IFITM3
4292,INPP5K
4293,IRGM
4294,ITGB1BP1
4295,KCNH6
4296,KCNJ1
4297,KCNJ14
4298,KCNJ18
4299,KCNMA1
4300,KCTD8
4301,KLKB1
4302,KLRC4
4303,LPCAT2
4304,LRRC8B
4305,LRRC8D
4306,LRRC8E
4307,MAP7
4308,MCOLN3
4309,MMP24
4310,MS4A13
4311,MS4A18
4312,MS4A5
4313,MS4A6E
4314,MS4A8
4315,MYO6
4316,NBEA
4317,NEDD4
4318,NOD1
4319,ORMDL3
4320,PAQR5
4321,PAQR7
4322,PAQR8
4323,PAQR9
4324,PARK7
4325,PDZD8
4326,PHACTR2
4327,PHB2
4328,PIP4P1
4329,PIP4P2
4330,PTP4A1
4331,RAB23
4332,RAB27A
4333,RAB3B
4334,RAB3IP
4335,RAP2C
4336,RGP1
4337,RGS1
4338,RGS2
4339,RHEB
4340,RHOD
4341,RPH3A
4342,RPS27A
4343,RS1
4344,RSC1A1
4345,RTBDN
4346,RTN4
4347,SEC23A
4348,SLC24A1
4349,SLC26A7
4350,SLC30A3
4351,SLC30A4
4352,SLC35G1
4353,SLC47A2
4354,SLC9A8
4355,SMIM1
4356,SNAP47
4357,SPACA3
4358,SPATA46
4359,STAC2
4360,STAC3
4361,STX6
4362,STX8
4363,SYNGR1
4364,SYNJ2
4365,SYT2
4366,SYT5
4367,TICAM2
4368,TMEM120A
4369,TMEM74
4370,TNK2
4371,TRPC4
4372,TRPC5
4373,TRPM6
4374,XK
4375,YWHAE
4376,ZDHHC3
4377,BASP1
4378,PIGN
4379,PIGW
4380,AMER1
4381,SLC31A2
4382,ASAP2
4383,COG3
4384,MACF1
4385,CAMK2D
4386,CEMIP
4387,KCNJ13
4388,P2RX5
4389,DNAJC1
4390,CNGA4
4391,PDPK1
4392,ADGRG2
4393,CNGA1
4394,DIAPH1
4395,GNAS
4396,IQGAP2
4397,KCNK6
4398,KCNN4
4399,PAG1
4400,PARD3
4401,RGS8
4402,TCAF2
4403,APC
4404,ARRB2
4405,CNGB1
4406,KCNAB1
4407,KTN1
4408,RRP12
4409,SEPTIN2
4410,ACSL6
4411,ADGRG3
4412,ADGRG7
4413,ALPK2
4414,ANXA6
4415,BLTP1
4416,BLTP2
4417,BLZF1
4418,C1orf210
4419,CA9
4420,CAMKV
4421,CBARP
4422,CCDC88A
4423,CDC42
4424,CMKLR2
4425,DNAJA3
4426,DNM1
4427,DRAM2
4428,ECE2
4429,ELAPOR1
4430,EXOC5
4431,FARP1
4432,FRMPD1
4433,GAPT
4434,GPR135
4435,HK2
4436,HPCA
4437,HSPD1
4438,KCTD12
4439,KCTD16
4440,MARCHF7
4441,MBLAC2
4442,MINAR1
4443,MS4A10
4444,MS4A4E
4445,NAPG
4446,OPN1MW3
4447,ORAI3
4448,PACSIN3
4449,PIK3CB
4450,PJA2
4451,PLEK2
4452,PLGRKT
4453,RAB3C
4454,RAB3D
4455,RALA
4456,RBSN
4457,RYR3
4458,SHROOM4
4459,SLC10A7
4460,SLC25A5
4461,SLC50A1
4462,SPACA6
4463,SPATA13
4464,STK39
4465,STOML1
4466,STXBP5
4467,TM7SF2
4468,TMEM11
4469,TMEM147
4470,TMEM41B
4471,TMPRSS11A
4472,TRPV3
4473,ZDHHC21
4474,ZDHHC4
4475,NF2
4476,PLPP2
4477,SRPRB
4478,TMC5
4479,PARD6A
4480,SLC30A8
4481,SLC38A6
4482,SORBS1
4483,MMP15
4484,ADD2
4485,CTNNA1
4486,CYTH2
4487,TIAM1
4488,WDFY3
4489,FCHSD2
4490,PROS1
4491,SACM1L
4492,SLC25A31
4493,CD2AP
4494,INPP4A
4495,SYNJ1
4496,ADGRF1
4497,ANKRD27
4498,HCK
4499,LAX1
4500,MPIG6B
4501,NPHS2
4502,RAPGEF4
4503,REEP2
4504,EPB41L4B
4505,EVC
4506,EXOC3
4507,IFITM5
4508,PDE6A
4509,STIM2
4510,ADGRE3
4511,ADGRV1
4512,AGPAT2
4513,AGPAT3
4514,ARL6
4515,ARRB1
4516,ASPH
4517,ATP6V1G1
4518,ATP8B3
4519,BBS1
4520,BBS2
4521,CACNA1H
4522,CALHM1
4523,CAPN2
4524,CARD11
4525,CH25H
4526,CKAP4
4527,CLDND2
4528,CLEC4E
4529,CLEC6A
4530,CLPTM1L
4531,COLEC12
4532,COMMD1
4533,CSK
4534,CYB5R1
4535,DDN
4536,DSP
4537,DTNB
4538,ENSG00000263620
4539,ENSG00000283952
4540,ENTPD2
4541,EPB42
4542,EPN3
4543,FGD2
4544,FGD5
4545,FOLR3
4546,FRMPD3
4547,FUT1
4548,GAL3ST1
4549,GLIPR1L1
4550,GNA12
4551,GOLGA7B
4552,GOLM1
4553,GOLPH3L
4554,GORASP1
4555,GPD1L
4556,GPHN
4557,GRIP2
4558,GUCY2F
4559,HAS1
4560,HCN3
4561,HECTD1
4562,HGSNAT
4563,HS3ST3B1
4564,HS6ST1
4565,IFI6
4566,IFITM10
4567,IFITM2
4568,IKBKB
4569,INPP5E
4570,KCND1
4571,KCNJ6
4572,KCNK3
4573,KCNN1
4574,KSR1
4575,LPCAT1
4576,LRBA
4577,LRRC8A
4578,LYPLA1
4579,MALL
4580,MAP4K2
4581,MARK2
4582,MCC
4583,MMD
4584,MOSMO
4585,MPP1
4586,MPP3
4587,MSMO1
4588,MYO1G
4589,NALF2
4590,NAPA
4591,NCEH1
4592,NDUFC2
4593,NISCH
4594,NOS3
4595,NOSTRIN
4596,NOX5
4597,OSBPL5
4598,OTOG
4599,OTOP3
4600,PCSK9
4601,PDE6B
4602,PGAP6
4603,PI4K2B
4604,PIGU
4605,PIP5K1C
4606,PLA2G4C
4607,PLA2G4E
4608,PLEKHO1
4609,PPP3CB
4610,RAB34
4611,RAB9B
4612,RASA3
4613,RCE1
4614,RIPOR2
4615,RRAS2
4616,RTN2
4617,SCFD1
4618,SCYL2
4619,SERPINB6
4620,SGMS2
4621,SHC4
4622,SLC35A1
4623,SLC35G2
4624,SLC9C1
4625,SMAGP
4626,SNF8
4627,SNX27
4628,SPART
4629,SPIRE2
4630,SRI
4631,STX11
4632,SUN3
4633,SYT6
4634,SYTL3
4635,TCAF1
4636,TESC
4637,TMC2
4638,TMC4
4639,TMEM43
4640,TMEM97
4641,TRAF3IP3
4642,TSPAN19
4643,TSPAN32
4644,TTC8
4645,UBR4
4646,VPS35
4647,WNK3
4648,XKR4
4649,XKR5
4650,XKR6
4651,XKR7
4652,XKR9
4653,ZAP70
4654,ERC1
4655,KLHL41
4656,RAF1
4657,RIPK1
4658,TJP2
4659,AFDN
4660,PDE4D
4661,PRKCE
4662,SVIL
4663,TULP3
4664,GNB1
4665,MAPK8IP1
4666,NAIF1
4667,BSND
4668,CDIPT
4669,CHIC2
4670,ENO2
4671,FLNC
4672,GAPDH
4673,GDE1
4674,LIMA1
4675,PAK1
4676,RAB29
4677,SIPA1L3
4678,SNTB2
4679,UCP3
4680,S100A6
4681,ARFGAP2
4682,ERAP1
4683,FA2H
4684,WASF2
4685,DVL1
4686,IFITM1
4687,NUP35
4688,PDE4A
4689,TAPBPL
4690,ADA
4691,AIFM2
4692,ARHGAP21
4693,CARMIL1
4694,CLIC4
4695,CRK
4696,DOCK8
4697,FBXO45
4698,FRMD8
4699,GP9
4700,HYCC1
4701,IRAG2
4702,ITCH
4703,KCNN3
4704,LST1
4705,MAPT
4706,PLCD3
4707,PLEKHA4
4708,PRR7
4709,PRRG4
4710,RHOC
4711,SHROOM2
4712,SMAP1
4713,SYK
4714,TBC1D24
4715,TLN1
4716,USP50
4717,VASP
4718,YES1
4719,ZMYND10
4720,ANKRD13B
4721,ARRDC4
4722,CDK16
4723,FMN2
4724,GNAQ
4725,MYO1B
4726,PARD6B
4727,PPL
4728,PRKCA
4729,PRKD1
4730,RASGRP1
4731,SYTL2
4732,TMUB1
4733,ABHD2
4734,ACTN2
4735,AMPH
4736,ANXA4
4737,AP4M1
4738,ARHGAP44
4739,ARHGEF18
4740,C2orf88
4741,CACNA1E
4742,CALHM4
4743,CCNYL1
4744,CFAP157
4745,CFL1
4746,CLIC5
4747,CPNE3
4748,DCST2
4749,DDOST
4750,DENND1A
4751,DGAT1
4752,DLG3
4753,DLG5
4754,EEA1
4755,ENOX2
4756,EPS8
4757,GAP43
4758,GPLD1
4759,GRID2IP
4760,HMOX2
4761,HSPA5
4762,INPP5B
4763,IYD
4764,KCNK7
4765,MAGI3
4766,MAGT1
4767,MIGA1
4768,MIGA2
4769,MLEC
4770,MPP7
4771,NCKAP1L
4772,NMT1
4773,NOS1
4774,NPDC1
4775,OSBP
4776,OSBPL3
4777,PACS2
4778,PALS2
4779,PERP
4780,PIRT
4781,PKP4
4782,PLD2
4783,PLEKHF1
4784,PLLP
4785,PRCP
4786,PRKCH
4787,PSTPIP2
4788,PTK2
4789,RAB11FIP2
4790,RAB2B
4791,RAB40A
4792,RAB40AL
4793,RAB40B
4794,RABEP1
4795,RALBP1
4796,RGS9
4797,RHOB
4798,RHOV
4799,RNF144A
4800,RNF5
