,surfaceome_genes
678,ENTPD1
679,AGTR2
680,HTR6
681,TNFSF10
682,RORC
683,INSL3
684,GPC3
685,CCL11
686,CCR3
687,CCR4
688,CCR5
689,CCR6
690,CCR8
691,CCR9
692,PLXNA3
693,GPR143
694,AKR1D1
695,EFNA3
696,EFNA4
697,EFNB2
698,EFNA5
699,COL4A4
700,ITGA8
701,SLC16A1
702,EPHB3
703,EPHA5
704,EPHB4
705,EPHB1
706,EPHA4
707,GAS1
708,NR1H2
709,DIO3
710,FGF8
711,UCN
712,INHBC
713,GDF10
714,CDH6
715,CCL23
716,CCL18
717,FCGRT
718,GFRA1
719,ITGA1
720,WNT3
721,WNT3A
722,WNT4
723,WNT7B
724,NRG3
725,JAM2
726,INHBE
727,PROK1
728,LILRA4
729,IL2
730,CXCR4
731,SST
732,B2M
733,TGFB2
734,PPIA
735,SIRPA
736,CX3CL1
737,JAG1
738,RELN
739,IL13RA1
740,CCL20
741,CCL8
742,CCL7
743,CXCL6
744,LCN2
745,DLK1
746,PRLH
747,VLDLR
748,EFNB1
749,NDP
750,IL9R
751,IL5RA
752,IL1RL1
753,MC2R
754,MC1R
755,COL4A3
756,ROR1
757,ROR2
758,TNFRSF17
759,NRG1
760,COL7A1
761,DSG1
762,DSC2
763,GHRHR
764,TEK
765,TGFBR3
766,PPARD
767,PLAUR
768,PTH1R
769,COL10A1
770,NOTCH2
771,ACVR1
772,MST1R
773,COL14A1
774,CHRNB3
775,TYRO3
776,LTB
777,TNFRSF9
778,COL16A1
779,CXCL9
780,KLRC3
781,PPARA
782,IL10RB
783,DSC1
784,CD47
785,FGL1
786,APOBR
787,BST2
788,CNTN1
789,MERTK
790,KLRB1
791,IL24
792,NR1H3
793,KLRD1
794,PTGDR
795,IL15RA
796,SEMA3F
797,GPR17
798,CRHR2
799,PTPRS
800,ITGAD
801,FZD5
802,MADCAM1
803,IL18R1
804,PNOC
805,SEMA5A
806,PTCH1
807,HTR4
808,IL10RA
809,ITGA7
810,ACVR2B
811,ALCAM
812,ITGA9
813,BMPR2
814,COL4A6
815,COL9A3
816,COL9A2
817,LRP8
818,IL18
819,DSG2
820,EBI3
821,SELPLG
822,FZD2
823,GAS6
824,SEMA3A
825,DSC3
826,IHH
827,IL11RA
828,IL13RA2
829,ICAM4
830,PTGR1
831,KIR3DS1
832,COL19A1
833,PDCD1
834,PTGES3
835,NECTIN1
836,ERBB4
837,EPHA7
838,ANGPT1
839,DHCR24
840,SHH
841,LTB4R
842,SLC1A5
843,CD226
844,EFNB3
845,CHRNA2
846,CHRNA6
847,ADIPOQ
848,NTRK3
849,IL17A
850,ACKR1
851,C3AR1
852,CALCRL
853,NTRK2
854,CCL14
855,PTGIS
856,CCL15
857,AMHR2
858,LAMA3
859,LTC4S
860,COL24A1
861,MICB
862,MICA
863,RSPO4
864,RSPO1
865,COL28A1
866,HFE
867,TIGIT
868,CDON
869,HSD17B12
870,TREML2
871,SFRP5
872,ARTN
873,COL13A1
874,IL23R
875,RAET1L
876,CD276
877,NCR3LG1
878,SFRP4
879,LAIR1
880,RAET1G
881,SIGIRR
882,GDF6
883,FDX2
884,CSPG4
885,CLEC2A
886,IGFL1
887,EPGN
888,IL27RA
889,C10orf99
890,IGFL2
891,IGFL3
892,IL20RB
893,RSPO2
894,UNC5D
895,NPSR1
896,SOSTDC1
897,NSMF
898,SIGLEC15
899,SCARA5
900,IL34
901,UNC5A
902,HTR3D
903,UTS2B
904,CATSPER4
905,ADM2
906,GDF7
907,TAFA5
908,TAFA1
909,BMP8A
910,BTLA
911,ADIPOR2
912,IFNE
913,CATSPERD
914,CATSPER3
915,TMEM219
916,GPHB5
917,KLB
918,IFNL1
919,IFNLR1
920,MT-RNR2
921,COL27A1
922,IFNL3
923,IFNL2
924,UNC5B
925,CADM3
926,LILRB2
927,SFRP1
928,IL22RA1
929,CD177
930,NPW
931,IL17RC
932,DAGLB
933,KREMEN2
934,CATSPER1
935,ACVR1C
936,IL27
937,PROKR2
938,IL17RE
939,COL22A1
940,SEMA6D
941,CADM4
942,NPB
943,LILRB4
944,LILRB1
945,PRXL2B
946,PROKR1
947,RAET1E
948,CD200R1
949,HAVCR2
950,OXER1
951,RXFP4
952,GPR151
953,SLC22A17
954,NRG4
955,IL1F10
956,HTR3C
957,RXFP2
958,RLN3
959,CLEC2B
960,CCL17
961,SORL1
962,NECTIN2
963,ESR2
964,RORB
965,FRZB
966,SEMA4D
967,GLG1
968,TNFRSF14
969,TNFRSF25
970,WNT2B
971,WNT8B
972,TSLP
973,UCN3
974,MCHR2
975,ADIPOR1
976,COL26A1
977,PTH2
978,ESAM
979,NXNL1
980,KLRG1
981,IL17RA
982,SFRP2
983,SIGLEC10
984,TAFA4
985,ROBO3
986,KREMEN1
987,NECTIN4
988,COL21A1
989,CATSPER2
990,GNRHR2
991,IL17F
992,HHIP
993,NR1H4
994,TNFRSF13C
995,UCN2
996,NODAL
997,GPHA2
998,CSF3R
999,HBEGF
1000,NELL2
1001,NOTCH4
1002,SORT1
1003,GPER1
1004,CCL13
1005,OSMR
1006,IL12RB2
1007,MCHR1
1008,COL12A1
1009,CCL19
1010,NRTN
1011,CMKLR1
1012,RARRES2
1013,OMD
1014,SEMA3C
1015,DHRS9
1016,PDCD1LG2
1017,SPX
1018,BOC
1019,JAM3
1020,STRA6
1021,LGR4
1022,AMN
1023,RSPO3
1024,CADM1
1025,ULBP3
1026,ULBP2
1027,ULBP1
1028,CD244
1029,SIGLEC1
1030,SEMA4C
1031,PDGFD
1032,NMUR2
1033,WNT10A
1034,FGF23
1035,IL22
1036,GFRA4
1037,WNT8A
1038,WNT5B
1039,IL25
1040,CXCL16
1041,SEMA6A
1042,CLEC4M
1043,HRH4
1044,SEMA4A
1045,FZD8
1046,DPEP2
1047,DPEP3
1048,EPB41L1
1049,IGFLR1
1050,CATSPERB
1051,PTGES2
1052,IL1RL2
1053,NTN4
1054,NMUR1
1055,IL21
1056,IL21R
1057,LGR6
1058,RXFP1
1059,PROK2
1060,CRLF2
1061,ROBO2
1062,PLXNA4
1063,FGF22
1064,CD209
1065,TNFRSF12A
1066,FGF20
1067,ACKR4
1068,LTB4R2
1069,IL23A
1070,FZD3
1071,IL1RAP
1072,IL26
1073,NECTIN3
1074,GDF3
1075,DLL4
1076,TLR8
1077,PDGFC
1078,CCL28
1079,IL17RB
1080,HEBP1
1081,CYSLTR2
1082,FGF21
1083,RXFP3
1084,SEMA4G
1085,DLL3
1086,IL20
1087,PODXL2
1088,TREM2
1089,IL37
1090,IL36B
1091,IL36G
1092,CD274
1093,KLRF1
1094,IL17C
1095,IFNK
1096,SIRPG
1097,COL20A1
1098,C5AR2
1099,GALP
1100,XCL2
1101,CLCF1
1102,IL36RN
1103,HCST
1104,DHCR7
1105,TNFRSF10D
1106,DKK2
1107,GHRL
1108,WNT16
1109,KL
1110,SUSD2
1111,IL36A
1112,IL19
1113,TAC3
1114,IL20RA
1115,CLEC2D
1116,PLXNA1
1117,GDF2
1118,PILRA
1119,UTS2R
1120,ITGA11
1121,CDH7
1122,PLXNB3
1123,FZD4
1124,FZD10
1125,APLN
1126,NOTCH3
1127,ALK
1128,COL17A1
1129,TNFSF18
1130,PROCR
1131,FZD1
1132,TFR2
1133,JAG2
1134,CCL26
1135,ANGPT4
1136,CYSLTR1
1137,TNFSF13B
1138,GPR55
1139,DAGLA
1140,PLXND1
1141,CCL27
1142,HRH3
1143,INSL5
1144,TNFRSF18
1145,WIF1
1146,PTGDR2
1147,F11R
1148,PTCH2
1149,WNT6
1150,ROBO1
1151,TNFRSF11A
1152,ICOS
1153,FCAR
1154,CHL1
1155,LILRA2
1156,CDCP1
1157,CD320
1158,LILRB5
1159,VASN
1160,GP6
1161,APLP2
1162,KIR2DL5A
1163,KIR2DS4
1164,MOSPD2
1165,SLC3A2
1166,NT5E
1167,LYVE1
1168,SDC2
1169,LILRB3
1170,CLSTN1
1171,SEMA4B
1172,BTN3A1
1173,FCRL1
1174,OSCAR
1175,FCER1A
1176,NOMO2
1177,IGSF8
1178,CD300LF
1179,KIR3DL3
1180,NRCAM
1181,SLAMF6
1182,CD248
1183,MCAM
1184,CD93
1185,ADGRE2
1186,CEACAM4
1187,SLITRK4
1188,PTPRF
1189,ITM2A
1190,CCDC47
1191,SEMA6B
1192,DDR2
1193,TMEM132A
1194,TMED2
1195,KIAA1324
1196,M6PR
1197,MPZL1
1198,ATP1B1
1199,SDC4
1200,PI16
1201,NCR2
1202,NEGR1
1203,MILR1
1204,JAML
1205,PIGR
1206,CNTNAP1
1207,OLR1
1208,CD33
1209,PTGFRN
1210,BST1
1211,LRRC15
1212,CPM
1213,PEAR1
1214,CGB1
1215,CD300LB
1216,KCNU1
1217,KCNK1
1218,GRM8
1219,F2RL2
1220,SLC1A7
1221,ADGRB1
1222,SLC9A3R1
1223,GABRD
1224,TAX1BP3
1225,NPFF
1226,GRM6
1227,GRIN2D
1228,SLC16A3
1229,FLRT2
1230,ADAM12
1231,GPR39
1232,LRRTM2
1233,ATP8B1
1234,ADGRB2
1235,ADGRB3
1236,ATP10A
1237,CRLF1
1238,UPK3A
1239,UPK1B
1240,GABBR2
1241,MPDZ
1242,C1QL1
1243,NCR1
1244,ADGRL1
1245,GLS
1246,SLITRK3
1247,SLITRK5
1248,KCNK2
1249,ADGRL2
1250,NTSR2
1251,LY86
1252,TSPAN12
1253,SLC16A8
1254,PPY
1255,NPY
1256,CD4
1257,RLN1
1258,CYBB
1259,EDN1
1260,CD1A
1261,CHRNG
1262,CD3E
1263,CTSG
1264,FCGR3A
1265,CD3G
1266,CGB3
1267,CGB7
1268,PYY
1269,CHRNB1
1270,CD79A
1271,FCGR1A
1272,CYBA
1273,EDN3
1274,GABRA1
1275,KCNA2
1276,GJA1
1277,TYRP1
1278,TPH1
1279,PTPRA
1280,GABRG2
1281,SDC1
1282,EDN2
1283,CD247
1284,CD9
1285,TGM2
1286,KCNA4
1287,PTGS1
1288,GLRA1
1289,GLRA2
1290,CBLN1
1291,PTPRD
1292,SLC6A2
1293,LAMA2
1294,EDNRB
1295,EDNRA
1296,F2R
1297,NPY1R
1298,GABRB3
1299,HSD11B1
1300,CD1B
1301,CD1C
1302,GNA11
1303,FCER1G
1304,SLC6A1
1305,NTSR1
1306,SLC6A6
1307,GABRA5
1308,SLC6A4
1309,SHMT1
1310,SHMT2
1311,GABRA3
1312,SFTPD
1313,PTGS2
1314,TIE1
1315,GJA5
1316,GJC1
1317,HSD17B2
1318,SCNN1A
1319,GRIK1
1320,DCT
1321,CD79B
1322,PTGDS
1323,ADCYAP1R1
1324,GRM5
1325,GRIA1
1326,GRIA2
1327,GRIA3
1328,SLC1A3
1329,SLC1A2
1330,SLC1A1
1331,SSR1
1332,SSR2
1333,GABRA2
1334,GABRB2
1335,SLC6A8
1336,GRIA4
1337,SLC6A12
1338,SLC6A11
1339,SLC6A9
1340,GLRB
1341,GABRA4
1342,SLC1A6
1343,NPY2R
1344,PSEN1
1345,PSEN2
1346,NPY4R
1347,SCNN1B
1348,SCNN1G
1349,SCNN1D
1350,SSR4
1351,GPM6A
1352,SLC18A1
1353,ATP12A
1354,NRXN1
1355,NRXN2
1356,CD81
1357,S100A10
1358,RACK1
1359,GABRE
1360,DLG4
1361,BTN3A2
1362,QRFP
1363,PKD1
1364,ATP11A
1365,ATP8B2
1366,MS4A2
1367,SLC7A5
1368,SLC6A3
1369,CNTN2
1370,CHRNE
1371,GAD2
1372,GRIN1
1373,SLC18A2
1374,CHRND
1375,CD300C
1376,GRIN2A
1377,GRIK2
1378,GRIK3
1379,GRIN2B
1380,GRM1
1381,PKD2
1382,SLC12A1
1383,DAG1
1384,GRM2
1385,SLC29A2
1386,KCNB1
1387,GRM7
1388,GRM3
1389,GRM4
1390,GRIN2C
1391,KISS1
1392,NPY5R
1393,GRIK4
1394,GABRA6
1395,GRIK5
1396,SLC18A3
1397,DUOXA1
1398,TMEM30B
1399,CD300E
1400,NMS
1401,C1QL3
1402,TENM4
1403,CGB2
1404,KCNIP4
1405,KCNV1
1406,LRFN4
1407,CD300LD
1408,FAT4
1409,SLC29A4
1410,PKD1L3
1411,C1QL2
1412,ADGRG6
1413,LRRTM1
1414,LRRTM4
1415,LRRTM3
1416,C1QL4
1417,TPH2
1418,NLGN4X
1419,NLGN1
1420,LRRC52
1421,ATP11C
1422,SLC17A8
1423,NLGN4Y
1424,NLGN2
1425,IL31RA
1426,VANGL1
1427,KCNG3
1428,LHFPL5
1429,KCNG4
1430,KCNV2
1431,PKD1L1
1432,ATP8B4
1433,APH1B
1434,NCSTN
1435,LPAR1
1436,GHSR
1437,KCNB2
1438,MR1
1439,KISS1R
1440,TMIGD2
1441,APH1A
1442,RTP4
1443,SLC10A4
1444,DCHS1
1445,KCNS1
1446,LRFN5
1447,QRFPR
1448,ADGRA2
1449,SLITRK1
1450,PCDH15
1451,PANX1
1452,F2RL3
1453,TAAR1
1454,GAD1
1455,CD180
1456,P2RX7
1457,SLC29A1
